food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg
"Chillies, green-1 (Capsicum annum)",Condiments and spices,2.62,45.65,431,62.16,3.32
"Chillies, green-2 (Capsicum annum)",Condiments and spices,2.28,39.91,321,51.72,2.47
"Chillies, green-3 (Capsicum annum)",Condiments and spices,2.38,40.39,317,50.24,2.56
"Chillies, green-4 (Capsicum annum)",Condiments and spices,2.33,45.41,318,42.79,1.94
"Chillies, green-5 (Capsicum annum)",Condiments and spices,2.01,43.02,317,44.35,2.19
"Chillies, green-6 (Capsicum annum)",Condiments and spices,3.01,41.83,340,56.05,2.43
"Chillies, green-7 (Capsicum annum)",Condiments and spices,2.12,38.96,319,45.58,2
"Chillies, green - all varieties (Capsicum annum)",Condiments and spices,2.36,42.3,341,50.91,2.5
Coriander leaves (Coriandrum sativum),Condiments and spices,3.52,31.07,546,64.69,37
Curry leaves (Murraya koenigii),Condiments and spices,7.41,63.58,584,83.29,18.66
"Garlic, big clove (Allium sativum)",Condiments and spices,6.92,123.8,430,119,9.42
"Garlic, small clove (Allium sativum)",Condiments and spices,6.75,122.85,453,116,10.56
"Garlic, single clove, Kashmir (Allium sativum)",Condiments and spices,6.12,125,584,128,8.87
"Ginger, fresh (Zingiber officinale)",Condiments and spices,2.22,54.97,407,44.36,10.03
Mango ginger (Curcuma amada),Condiments and spices,1.45,42.3,384,68.33,5.51
Mint leaves (Mentha spicata),Condiments and spices,4.66,37.05,539,65.25,16.87
"Onion, big (Allium cepa)",Condiments and spices,1.5,48.04,171,32.34,5.5
"Onion, small (Allium cepa)",Condiments and spices,1.82,56.64,160,39.65,4.06
Asafoetida (Ferula assa-foetida),Condiments and spices,6.34,331.5,245,69.09,16.04
"Cardamom, green (Elettaria cardamomum)",Condiments and spices,8.1,255.02,1262,132,15.51
"Cardamom, black (Elettaria cardamomum)",Condiments and spices,6.69,270.55,1331,117,16.25
"Chillies, red (Capsicum annum)",Condiments and spices,12.69,236.62,2245,280,19.45
Cloves (Syzygium aromaticum),Condiments and spices,5.86,186.66,1434,83.1,183
Coriander seeds (Coriandrum sativum),Condiments and spices,10.66,268.88,1473,293,34.41
Cumin seeds (Cuminum cyminum),Condiments and spices,13.91,304.49,1886,382,125
Fenugreek seeds (Trigonella foenum graecum),Condiments and spices,25.41,234.94,891,435,40.2
Mace (Myristica fragrans),Condiments and spices,6.24,355.64,623,110,27.17
Nutmeg (Myristica fragrans),Condiments and spices,6.3,463.67,474,207,14.31
Omum (Trachyspermum ammi),Condiments and spices,15.89,357.31,1692,329,28.58
Pippali (Piper longum),Condiments and spices,10.53,216.54,1852,181,16.28
"Pepper, black (Piper nigrum)",Condiments and spices,10.12,217.5,1487,144,24.08
Poppy seeds (Papaver somniferum),Condiments and spices,20.31,422.56,646,804,25.35
Turmeric powder (Curcuma domestica),Condiments and spices,7.66,280.59,2374,276,24.41
Almond (Prunus amygdalus),Nuts and oil seeds,18.41,609.23,699,446,1.5
"Arecanut, dried, brown (Areca catechu)",Nuts and oil seeds,5.78,350.62,524,105,12.06
"Arecanut, dried, red color (Areca catechu)",Nuts and oil seeds,6.46,353.01,617,127,17.13
"Arecanut, fresh (Areca catechu)",Nuts and oil seeds,2.73,244.74,329,90.48,5.53
Cashew nut (Anacardium occidentale),Nuts and oil seeds,18.78,582.7,635,500,9
"Coconut, kernel, dry (Cocos nucifera)",Nuts and oil seeds,7.27,624.04,739,203,16.68
"Coconut, kernel, fresh (Cocos nucifera)",Nuts and oil seeds,3.84,408.94,246,67.73,8.12
"Garden cress, seeds (Lepidium sativum)",Nuts and oil seeds,23.36,445.27,952,539,21.84
"Gingelly seeds, black (Sesamum indicum)",Nuts and oil seeds,19.17,507.65,480,568,15.91
"Gingelly seeds, brown (Sesamum indicum)",Nuts and oil seeds,21.61,516.49,491,613,11.94
"Gingelly seeds, white (Sesamum indicum)",Nuts and oil seeds,21.7,519.6,460,754,15.43
Ground nut (Arachis hypogaea),Nuts and oil seeds,23.65,520.08,679,391,12.21
Mustard seeds (Brassica nigra),Nuts and oil seeds,19.51,509.56,694,715,3.97
Linseeds (Linum usitatissimum),Nuts and oil seeds,18.55,443.83,655,445,32.93
"Niger seeds, black (Guizotia abyssinica)",Nuts and oil seeds,18.92,512.43,716,461,10.7
"Niger seeds, gray (Guizotia abyssinica)",Nuts and oil seeds,18.34,508.6,874,474,8.08
Pine seed (Pinus sp.),Nuts and oil seeds,12.55,594.17,686,618,1.31
