food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
"Snake gourd, long, pale green (Trichosanthes anguina)",Other vegetables,0.98,12.43,100.0,23.27,7.07,Safe,Vegetarian,94.46300000000001
"Snake gourd, long, dark green (Trichosanthes anguina)",Other vegetables,0.89,11.95,104.0,31.03,5.04,Safe,Vegetarian,93.8865
"Snake gourd, short (Trichosanthes anguina)",Other vegetables,0.54,14.58,84.0,21.33,2.5,Safe,Vegetarian,95.1485
"Tinda, tender (Praecitrullus fistulosus)",Other vegetables,1.02,13.86,56.18,30.37,20.61,Safe,Vegetarian,95.66199999999999
"Tomato, green (Solanum lycopersicum)",Other vegetables,1.12,20.79,225.0,22.5,13.11,Moderate,Vegetarian,88.0895
"Tomato, ripe, hybrid (Solanum lycopersicum)",Other vegetables,0.76,18.88,167.0,15.45,11.86,Safe,Vegetarian,91.04450000000001
"Tomato, ripe, local (Lycopersicon esculentum)",Other vegetables,0.9,19.6,204.0,18.77,9.73,Moderate,Vegetarian,89.27499999999999
"Zucchini, green (Cucurbita pepo)",Other vegetables,1.1,20.08,178.0,21.38,0.4,Safe,Vegetarian,91.11099999999999
"Zucchini, yellow (Cucurbita pepo)",Other vegetables,1.31,18.88,131.0,32.03,0.39,Safe,Vegetarian,93.13900000000001
"Apple, big (Malus domestica)",Fruits,0.29,62.38,116.0,10.44,1.43,Safe,Vegetarian,93.8965
"Apple, green (Malus domestica)",Fruits,0.46,51.15,94.55,7.48,1.47,Safe,Vegetarian,95.285
"Apple, small (Malus domestica)",Fruits,0.31,63.81,100.0,8.39,1.45,Safe,Vegetarian,94.818
"Apple, small, Kashmir (Malus domestica)",Fruits,0.27,64.29,106.0,10.72,1.22,Safe,Vegetarian,94.37299999999999
"Apricot, dried (Prunus armeniaca)",Fruits,3.17,315.73,285.0,72.02,3.94,Moderate,Vegetarian,85.122
"Apricot, processed (Prunus armeniaca)",Fruits,1.47,56.41,95.0,27.33,1.6,Safe,Vegetarian,95.2735
Avocado fruit (Persea sp.),Fruits,2.95,144.36,377.0,63.14,2.81,Avoid,Vegetarian,80.80250000000001
Bael fruit (Aegle marmelos),Fruits,2.63,135.99,409.0,37.29,1.56,Avoid,Vegetarian,80.23749999999998
"Banana, ripe, montham (Musa x paradisiaca)",Fruits,1.25,110.66,362.0,20.85,1.25,Avoid,Vegetarian,82.045
"Banana, ripe, poovam (Musa x paradisiaca)",Fruits,1.49,106.36,335.0,33.63,1.0,Moderate,Vegetarian,83.0085
"Banana, ripe, red (Musa x paradisiaca)",Fruits,1.29,111.62,313.0,23.27,1.11,Moderate,Vegetarian,84.421
"Banana, ripe, robusta (Musa x paradisiaca)",Fruits,1.23,105.16,306.0,24.32,0.85,Moderate,Vegetarian,84.67150000000001
Black berry (Rubus sp.),Fruits,0.92,54.25,205.0,20.08,1.21,Moderate,Vegetarian,89.60549999999999
"Cherries, red (Prunus cerasus)",Fruits,1.49,59.75,165.0,25.31,1.64,Safe,Vegetarian,91.8925
"Currants, black (Ribes nigrum)",Fruits,1.51,54.25,283.0,78.8,1.45,Moderate,Vegetarian,83.3475
Custard apple (Annona squamosa),Fruits,1.62,98.95,278.0,40.81,3.11,Moderate,Vegetarian,85.524
"Dates, dry, pale brown (Phoenix dactylifera)",Fruits,2.45,320.27,804.0,73.02,3.27,Avoid,Vegetarian,58.435500000000005
"Dates, dry, dark brown (Phoenix dactylifera)",Fruits,2.38,310.95,782.0,70.26,3.09,Avoid,Vegetarian,59.612500000000004
"Dates, processed (Phoenix dactylifera)",Fruits,1.18,286.09,289.0,33.88,1.6,Moderate,Vegetarian,84.956
